"active","pathotype","strain","LB_1","LB_2","LB_3","TSB_1","TSB_2","TSB_3","BHI_1","BHI_2","BHI_3","M63_1","M63_2","M63_3"
"W1","CAEC",5195,0.0401,0.0268,0.0066,0.0513,0.0471,0.0084,0.0429,0.0285,0.0053,0.0374,0.0241,0.0131
"W1","CAEC",5196,0.0314,0.0365,0.0071,0.0257,0.0294,0.0178,0.0451,0.0436,0.0108,0.034,0.0176,0.0044
"W1","CAEC",5198,0.0635,0.0789,0.0179,0.0356,0.058,0.0145,0.0732,0.1128,0.0245,0.204,0.136,0.0167
"W1","CAEC",5199,0.049,0.0475,0.0079,0.0296,0.0392,0.0064,0.031,0.0385,0.0104,0.1262,0.1159,0.0253
"W1","AFEC",5559,0.1055,0.0424,0.0218,0.1084,0.0757,0.0219,0.0427,0.0794,0.0203,0.2715,0.028,0.0052
"W1","AFEC",5560,0.0229,0.0204,0.0081,0.0156,0.0215,0.0096,0.0253,0.0229,0.0051,0.0113,0.0046,0.0049
"W1","AFEC",5561,0.0285,0.0309,0.0065,0.0308,0.0314,0.0113,0.0307,0.0207,0.0119,0.0081,0.0061,0.004
"W1","AFEC",5562,0.0412,0.0266,0.0097,0.0271,0.0283,0.0044,0.037,0.0225,0.0084,0.0149,0.0196,0.0074
"W1","AFEC",5563,0.0576,0.1137,0.0337,0.0756,0.2107,0.0528,0.0716,0.0984,0.0437,0.149,0.0255,0.0115
"W1","AFEC",5564,0.0235,0.057,0.0126,0.0368,0.0351,0.0094,0.0356,0.0669,0.0168,0.0178,0.0429,0.0068
"W1","AFEC",5565,0.0202,0.0565,0.0083,0.0222,0.0536,0.0108,0.0319,0.0775,0.0106,0.0204,0.0157,0.0076
"W1","AFEC",5566,0.0354,0.0503,0.0413,0.0337,0.0368,0.0516,0.032,0.0399,0.0168,0.0172,0.2406,0.0511
"W1","AFEC",5567,0.0163,0.0299,0.0078,0.0121,0.0259,0.0321,0.0485,0.0904,0.0166,0.0098,0.0091,0.0084
"W1","AFEC",5568,0.0182,0.0108,0.0082,0.0105,0.009,0.0066,0.0316,0.0132,0.0061,0.016,0.0361,0.0112
"W1","AFEC",5569,0.0662,0.0433,0.0406,0.0406,0.0692,0.0388,0.0735,0.0813,0.0505,0.0295,0.0295,0.0346
"W1","AFEC",5570,0.0304,0.0724,0.0238,0.0576,0.1851,0.0463,0.0556,0.078,0.054,0.0629,0.1527,0.05
"W1","AFEC",5571,0.018,0.0256,0.0109,0.0154,0.0223,0.0112,0.0336,0.0409,0.0152,0.0093,0.0063,0.0036
"W1","AFEC",5572,0.0754,0.0435,0.0375,0.047,0.0732,0.0257,0.0703,0.0966,0.0399,0.0173,0.0314,0.0071
"W1","AFEC",5573,0.0517,0.0431,0.0167,0.0521,0.084,0.0305,0.0613,0.0454,0.025,0.1214,0.0618,0.0131
"W1","AFEC",5574,0.0247,0.0389,0.0195,0.0173,0.0278,0.0158,0.0452,0.0755,0.0244,0.0106,0.0062,0.0068
"W1","AFEC",5575,0.0094,0.0164,0.0078,0.0091,0.0104,0.0104,0.0387,0.0511,0.0159,0.0103,0.0057,0.0052
"W1","AFEC",5576,0.0157,0.0571,0.0229,0.0213,0.0753,0.0326,0.0289,0.0971,0.1407,0.0249,0.0166,0.0131
"W1","AFEC",5577,0.0468,0.0525,0.0245,0.0409,0.0282,0.0248,0.0586,0.0372,0.0313,0.0209,0.041,0.0388
"W1","AFEC",5578,0.036,0.0211,0.0133,0.0272,0.0169,0.0097,0.0284,0.022,0.0093,0.0323,0.0339,0.0131
"W1","AFEC",5579,0.1178,0.0595,0.0403,0.0937,0.1067,0.0463,0.1218,0.0935,0.0403,0.0625,0.0568,0.0348
"W1","AFEC",5580,0.028,0.1422,0.0075,0.0232,0.1118,0.0191,0.0648,0.1778,0.0215,0.0193,0.0127,0.0185
"W1","AFEC",5581,0.0175,0.0477,0.0099,0.0271,0.0475,0.0144,0.028,0.1138,0.0224,0.0307,0.0406,0.0066
"W1","AFEC",5582,0.0372,0.0515,0.0178,0.0232,0.0231,0.0113,0.0399,0.0241,0.0175,0.0485,0.0487,0.0091
"W2","HFEC",5527,0.0055,0.0121,0.0055,0.0069,0.0118,0.0032,0.0097,0.0077,0.017,0.0048,0.0244,0.0172
"W2","HFEC",5528,0.0034,0.0064,0.0044,0.0024,0.0119,0.015,0.0078,0.0357,0.0082,0.0074,0.0394,0.0085
"W2","HFEC",5529,0.0053,0.0099,0.0083,0.0058,0.0095,0.002,0.0119,0.0091,0.0084,0.0195,0.0509,0.0475
"W2","HFEC",5531,0.0066,0.0207,0.0079,0.0045,0.0136,0.0205,0.0107,0.0236,0.0209,0.0052,0.0064,0.005
